Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100u,
"C10, C11, C13, C16, C20, C23, C26, C28, C29, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87",0402,42,0.47u,
"C100, C101, C102, C103, C108, C126, C127, C128, C129, C132, C133, C158, C88, C89, C90, C91, C93, C95, C96, C98, C99",0402,21,0.1u,
"C104, C123, C124, C125, C138, C139, C14, C15, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C7, C70, C71, C72, C73, C74, C75, C9, C92, C94, C97",0402,29,4.7u,
"C105, C107, C109, C110, C111, C122, C142, C143, C144, C145, C150, C152, C3, C4, C5, C6, L1, L2, L3",0402,19,10u,
C106,0402,1,1000p,
C112,0402,1,2.2u,
"C113, C114, C115, C116, C117, C118, C119, C120, C134, C135, C146, C147, C148, C149, C151, C153, C154, C155, C156, C157",0402,20,100n,
"C12, C19, C27, C32, C33, C34, C35, C36, C67, C68, C69",0603,11,47u,
"C121, C130, C24, C25, C30, C31",0402,6,22u,
"C131, C136, C137",0402,3,1u,
"C140, C141",0402,2,470n,
"C17, C18",0402,2,10n,
C2,0402,1,47u,
"C21, C22",0402,2,3.9n,
"D1, D2, D3, D4, D5, D6, D7",0402,7,LED,
"IC1, IC2",QFN40P400X600X100-41N-D,2,GS12142,
J1,CONN_47272-0024_MOL,1,472720024,
"J2, J3",SAMTEC_BNC7T-J-P-XX-ST-EM1D,2,Conn_Coaxial,
J4,PinSocket_2x05_P2.54mm_Vertical,1,Conn_ARM_JTAG_SWD_10,
J5,BUS_PCIexpress_x4,1,Bus_PCI_Express_x4,
"R1, R13, R17, R2, R42, R44, R49, R50, R51, R52, R55, R56, R57, R58, R59, R60",0402,16,100k,
R10,0402,1,800,
"R11, R14, R15, R16, R18, R20, R23, R24, R25, R26, R35, R36, R37, R38, R39, R40, R41, R45, R46, R61, R62, R64, R66, R68, R69, R7, R70, R71, R8",0402,29,10k,
"R12, R19, R22",0402,3,1M,
R21,0402,1,5M,
"R27, R28, R29, R30, R31, R32, R33, R47",0402,8,1k,
R3,0402,1,180,
R34,0402,1,240,
R4,0402,1,2.2k,
R43,0402,1,24.9k,
R48,0402,1,22,
"R5, R6",0402,2,6.8k,
"R53, R54",0402,2,2,
R63,0402,1,100,
"R65, R67",0402,2,12.1k,
R9,0402,1,26.1k,
SW1,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,1,SW_DIP_x08,
U1,Xilinx_FGG676,1,XC7A75T-FGG676,
U10,DRC0010J,1,TPS51200DRCR,
U11,DQC0010A,1,TPS62175DQCR,
"U12, U6",SOT23_NEX,2,PESD5V0L2BT,
"U13, U4",SOT_AMS1117-2.5_AMS,2,AMS1117-ADJ,
"U2, U3",IC8_MP2307_MNP,2,MP2307DN-LF-Z,
U5,SOT223_AMS1117-1.8_AMS,1,AMS1117-1.8,
U7,RTQ0056B,1,HD3SS215IRTQT,
U8,SON_EW7-0SIT_MRN,1,MT25QL256ABA1EW7-0SIT,
U9,FBGA96_8X14_MRN,1,MT41K256M16TW-107:P,
XTAL1,CHIP_ASE-24_ABR,1,ASE-25.000MHZ-LC-T,
XTAL2,SG-210STF_EPS,1,SX3M100.000B20F30TNN,
