Designator,Mid X,Mid Y,Rotation,Layer
C1,173.7,-148.5,0.0,bottom
C10,173.7,-152.65,0.0,bottom
C100,210.925,-161.345,180.0,top
C101,202.655,-156.845,270.0,top
C102,210.925,-160.345,180.0,top
C103,199.155,-168.095,90.0,top
C104,190.965,-149.250001,0.0,top
C105,199.715,-149.190001,180.0,top
C106,195.965,-150.750001,90.0,top
C107,199.715,-148.250001,180.0,top
C108,190.985,-147.250001,0.0,top
C109,198.155,-145.250001,270.0,top
C11,173.7,-153.7,0.0,bottom
C110,196.185,-145.250001,270.0,top
C111,194.215,-145.250001,270.0,top
C112,183.050002,-135.300001,180.0,top
C113,165.175,-191.02,270.0,top
C114,164.175,-191.02,270.0,top
C115,161.175,-191.02,270.0,top
C116,160.175,-191.02,270.0,top
C117,157.175,-191.02,270.0,top
C118,156.175,-191.02,270.0,top
C119,152.175,-191.02,270.0,top
C12,173.8,-155.5,0.0,bottom
C120,151.185,-191.02,270.0,top
C121,178.300002,-136.800001,90.0,top
C122,137.884,-168.6,90.0,top
C123,167.4,-137.68,270.0,bottom
C124,171.95,-137.67,270.0,bottom
C125,166.35,-137.68,270.0,bottom
C126,173.0,-137.68,270.0,bottom
C127,168.45,-137.68,270.0,bottom
C128,174.05,-137.67,270.0,bottom
C129,169.5,-137.68,270.0,bottom
C13,173.7,-149.5,0.0,bottom
C130,133.384,-168.6,270.0,top
C131,135.9351,-144.695,270.0,top
C132,136.9351,-144.695,270.0,top
C133,183.149999,-175.649999,270.0,top
C134,111.5,-145.7,0.0,top
C135,115.28,-147.2,180.0,top
C136,111.5,-144.7,0.0,top
C137,115.28,-148.3,180.0,top
C138,111.5,-142.5,0.0,top
C139,115.3,-150.5,180.0,top
C14,173.8,-156.7,0.0,bottom
C140,108.4,-140.5,90.0,top
C141,117.8,-152.48,270.0,top
C142,108.5,-137.5,90.0,top
C143,117.8,-155.5,270.0,top
C144,107.4,-137.5,90.0,top
C145,118.9,-155.5,270.0,top
C146,118.7,-139.3,180.0,top
C147,108.1,-153.8,0.0,top
C148,118.7,-137.7,180.0,top
C149,108.1,-155.3,0.0,top
C15,173.8,-157.75,0.0,bottom
C150,112.5,-134.5,0.0,top
C151,114.9,-135.6,180.0,top
C152,114.3,-158.2,180.0,top
C153,111.92,-157.4,0.0,top
C154,114.9,-134.5,180.0,top
C155,111.9,-158.5,0.0,top
C156,114.9,-133.4,180.0,top
C157,111.9,-159.6,0.0,top
C158,182.7,-152.1,180.0,bottom
C16,173.8,-158.8,0.0,bottom
C17,118.239,-185.02415,270.0,top
C18,132.289,-185.02415,270.0,top
C19,166.75,-145.8,270.0,bottom
C2,165.3,-153.17,180.0,bottom
C20,173.8,-163.0,0.0,bottom
C21,120.789,-174.67415,90.0,top
C22,134.789,-174.77415,90.0,top
C23,173.8,-159.85,0.0,bottom
C24,116.384,-170.05,90.0,top
C25,126.0625,-168.6,270.0,top
C26,173.8,-160.9,0.0,bottom
C27,169.05,-153.4,0.0,bottom
C28,173.8,-161.95,0.0,bottom
C29,169.05,-154.65,0.0,bottom
C3,118.134,-169.55,0.0,top
C30,122.529,-172.17415,0.0,top
